id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q3112726,Governor of the Turks and Caicos Islands,Q145,Q18221,,,1973,,,,Governor of the Turks and Caicos Islands
Q16829402,Deputy Governor of the Turks and Caicos Islands,,Q18221,,,,,,,Deputy Governor of the Turks and Caicos Islands
Q3401756,Premier of the Turks and Caicos Islands,Q145,Q18221,,,1976-08-31,,,,Premier of the Turks and Caicos Islands
Q109776508,"Minister of Education, Labour, Employment and Customer Service",Q145,Q18221,,,,,,,
Q108803505,"Minister of Finance, Investment & Trade",,Q18221,,,,,,,
Q108803511,"Minister of Health, Agriculture, Sports and Human Services",Q145,Q18221,,,,,,,
Q109776514,"Minister of Home Affairs, Public Utilities and Transportation",Q145,Q18221,,,,,,,
Q109776617,Minister of Immigration and Border Services,Q145,Q18221,,,,,,,
Q109776628,Minister of Physical Planning and Infrastructure Development,Q145,Q18221,,,,,,,
Q109776524,"Minister of Tourism, Agriculture, Fisheries, Heritage and the Environment",Q145,Q18221,,,,,,,
Q109776630,Leader of Government Business,Q145,Q18221,,,,,,,
Q4818616,Attorney-General of the Turks and Caicos Islands,Q145,Q18221,,,,,,,Attorney-General of the Turks and Caicos Islands
Q6597984,Speaker of the Turks and Caicos Islands House of Assembly,,,,,,,,,List of speakers of the Turks and Caicos Islands House of Assembly
